instrument,phase,strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,profit_factor,avg_trade_return,avg_bars_held,trades_per_year,params
GOLD,walk_forward,tsmom,4.269415832286256,0.07948044993763537,0.14629763431060858,0.5962520086297216,0.6358118118892157,-0.32302283983547897,0.2460521057214286,0.6471877282688093,158,0.4177215189873418,2.226028847182189,0.01340757017624195,22.424050632911392,7.27100073046019,
GOLD,walk_forward,macd_momentum,1.5139126132455853,0.04333484382390207,0.1350251971656477,0.3818877592758688,0.4119309542942477,-0.3534373006729711,0.12260970684585154,0.6101168736303871,339,0.4778761061946903,1.397491588935472,0.0038430902181842202,9.85250737463127,15.600438276113952,
GOLD,walk_forward,donchian_breakout,1.3191562352124708,0.039470380357260026,0.12577765452835857,0.37106224478235467,0.3238327485978093,-0.289384064026592,0.1363944503648723,0.46877282688093497,123,0.45528455284552843,1.520217906504262,0.006830937244847416,20.869918699186993,5.660336011687363,
GOLD,walk_forward,ma_cross,1.116728398485701,0.035110660340655686,0.1462883316659423,0.30939886743740164,0.3291709538337608,-0.48463135723641704,0.07244818111001369,0.668736303871439,108,0.4166666666666667,2.0561584950372493,0.017198821105613535,33.907407407407405,4.970051132213294,
GOLD,walk_forward,double_low,0.6175674733517622,0.022378333786050142,0.08713033108729314,0.29766792572927203,0.19654056078874352,-0.2863792536258939,0.07814230082212469,0.2293644996347699,154,0.6688311688311688,1.6246173525484868,0.005319570616925132,8.155844155844155,7.086924762600438,
GOLD,walk_forward,rsi_reversion,0.2867347066712156,0.011669306911543664,0.06837843785205676,0.20399037372740642,0.0913411957161949,-0.16725961788768773,0.0697676286656318,0.11340394448502557,85,0.6823529411764706,1.7125086507913387,0.00573630374319478,7.305882352941176,3.911614317019722,
GOLD,walk_forward,bollinger_reversion,0.18889890211841576,0.007994340560435687,0.057866936179185265,0.16681880231813043,0.06422030769548702,-0.1650260029717684,0.04844291454967438,0.0945945945945946,71,0.6619718309859155,1.5854744153257436,0.00414096960522651,7.295774647887324,3.2673484295105917,
GOLD,walk_forward,buy_hold,9.318629691531662,0.11338627647262367,0.18284403958162854,0.6792544398695629,0.890437996492288,-0.4436384411173203,0.25558262306362817,0.99981738495252,1,1.0,,9.318629691531681,5475.0,0.04601899196493791,
GOLD,in_sample,tsmom,6.644520361533625,0.08225927701982427,0.14753302942257446,0.609978403987189,0.6654598007308362,-0.3295631351082188,0.2496009664212375,0.6967921036397285,102,0.4117647058823529,4.372845466432356,0.028109948394732128,44.294117647058826,3.9642196175200493,"{""lookback"": 120, ""trend_n"": 0, ""allow_short"": false}"
GOLD,in_sample,ma_cross,3.5529351610851583,0.06068012419992885,0.13819025831458606,0.4956987430848153,0.49922654435820496,-0.3617929111154694,0.16772060019872045,0.5788093769278223,115,0.4434782608695652,2.4885183604211747,0.017537700654890603,32.63478260869565,4.469463294262801,"{""fast"": 5, ""slow"": 50, ""use_ema"": false, ""allow_short"": false}"
GOLD,in_sample,macd_momentum,2.899874940647572,0.05431679441912163,0.1256671596855291,0.4839030246654495,0.4920675780036099,-0.22922199792635067,0.23696152599007397,0.5191239975323874,311,0.42765273311897106,1.7620183949595833,0.007013917535203381,10.82315112540193,12.086983343615051,"{""fast"": 8, ""slow"": 17, ""signal"": 9, ""allow_short"": false}"
GOLD,in_sample,rsi_reversion,0.7320113818431893,0.021577338077629626,0.048115289888804376,0.4676504601063157,0.17784032422399293,-0.11164283148878462,0.19327114683397506,0.06307834669956817,54,0.7407407407407407,3.517504606365559,0.012529598699262201,7.574074074074074,2.0987045033929674,"{""rsi_n"": 3, ""entry"": 10, ""exit_level"": 70, ""trend_n"": 200}"
GOLD,in_sample,donchian_breakout,2.4889043094911782,0.049763709365978404,0.13762490559041332,0.422011591952688,0.4222778800111113,-0.35206436490952053,0.14134832810690034,0.5746452806909316,82,0.47560975609756095,2.2704884797715055,0.019895236930962887,45.4390243902439,3.186921653300432,"{""entry_n"": 20, ""exit_n"": 20, ""allow_short"": false}"
GOLD,in_sample,double_low,1.2917535614674747,0.03275638660992852,0.08962857903930102,0.404476618481411,0.2774041889289644,-0.2463878886527453,0.13294641546319994,0.24290561381863046,158,0.6645569620253164,1.9258015562773685,0.007699757230633065,9.968354430379748,6.140653917334978,"{""n"": 10, ""trend_n"": 200}"
GOLD,in_sample,bollinger_reversion,0.5701143529497963,0.017688458825789066,0.05149328846519203,0.3663741470863382,0.1421558607394071,-0.1949125817125239,0.09075072871323274,0.08821714990746453,55,0.6909090909090909,2.5547105147009557,0.010600421644117357,10.4,2.137569401603948,"{""n"": 20, ""k"": 2.0, ""trend_n"": 200}"
NVDA,walk_forward,donchian_breakout,205.85856516244576,0.2560028453132581,0.34503889452041286,0.8298176734899468,0.9963793077757522,-0.691637237224262,0.3701403445839191,0.5589482612383376,115,0.4608695652173913,3.1710937146848086,0.06738492463945633,28.652173913043477,4.916030534351145,
