symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
SPY,2026-05-29,tjr,1,11:20:00,756.690002,754.900024,760.2699580000001,15:55:00,756.400024,eod,-0.000983219018665004,0.0023655367393106102,-0.41564309795989224
SPY,2026-06-05,tjr,1,10:20:00,750.099976,748.224976,753.849976,11:15:00,748.224976,stop,-0.003099666791083821,0.0024996667910838597,-1.2400319923199845
SPY,2026-06-08,tjr,1,11:30:00,741.950012,740.599976,744.6500840000001,13:00:00,740.599976,stop,-0.0024195781092594786,0.0018195781092595299,-1.3297467676417125
SPY,2026-06-17,tjr,1,10:30:00,751.090027,749.609985,754.0501109999998,10:40:00,749.609985,stop,-0.0025705254320996344,0.0019705254320996493,-1.3044873160356365
QQQ,2026-05-29,tjr,1,11:20:00,738.109985,736.960022,740.4099110000002,13:45:00,736.960022,stop,-0.0021579832590939534,0.0015579832590939284,-1.3851132523394154
QQQ,2026-06-01,tjr,1,11:25:00,740.119995,735.98999,748.380005,15:55:00,742.690002,eod,0.0028724193608632882,0.005580182981004294,0.514753614826144
QQQ,2026-06-05,tjr,1,10:20:00,726.049988,723.47998,731.190004,11:10:00,723.47998,stop,-0.004139712199540745,0.00353971219954077,-1.1695053061313339
QQQ,2026-06-08,tjr,1,10:40:00,718.048279,713.099976,727.944885,15:55:00,716.099976,eod,-0.0033133314805981577,0.006891323528957319,-0.4807975516859061
QQQ,2026-06-24,tjr,1,11:25:00,715.190002,712.090027,721.3899520000002,13:05:00,712.090027,stop,-0.004934477539298831,0.00433447753929883,-1.138424987685381
IWM,2026-06-01,tjr,1,12:10:00,287.910004,286.649994,290.43002400000006,13:40:00,290.43002400000006,target,0.008152804574307271,0.00437640228715367,1.8629010861818422
IWM,2026-06-05,tjr,1,10:20:00,287.029999,285.630005,289.82998699999996,11:35:00,285.630005,stop,-0.005477518046467299,0.004877518046467305,-1.123013383914502
IWM,2026-06-17,tjr,1,14:00:00,294.179993,292.350006,297.83996700000006,14:00:00,292.350006,stop,-0.0068206371729705,0.006220637172970552,-1.0964531419075563
DIA,2026-06-01,tjr,1,12:10:00,509.440002,508.529999,511.260008,13:40:00,511.260008,target,0.0029725620148689964,0.0017862810074345467,1.6641066005276428
