Datetime,Open,High,Low,Close,Volume
2026-04-08 13:30:00+00:00,186.500000,186.770004,185.520004,185.889999,552957
2026-04-08 13:35:00+00:00,185.929993,186.414993,184.750000,184.750000,186631
2026-04-08 13:40:00+00:00,184.720001,184.979996,182.869995,183.270004,199423
2026-04-08 13:45:00+00:00,183.300003,183.589996,182.330002,183.500000,242729
2026-04-08 13:50:00+00:00,183.399994,183.429993,182.479996,182.509995,198910
2026-04-08 13:55:00+00:00,182.500000,182.740005,182.000000,182.330002,167706
2026-04-08 14:00:00+00:00,182.330002,183.059998,182.289993,182.425003,125682
2026-04-08 14:05:00+00:00,182.315002,182.940002,182.240005,182.389999,83591
2026-04-08 14:10:00+00:00,182.434036,182.669998,182.300003,182.494995,110080
2026-04-08 14:15:00+00:00,182.494995,183.289993,182.429993,183.020004,129287
2026-04-08 14:20:00+00:00,183.029999,183.339996,182.860001,183.050003,77857
2026-04-08 14:25:00+00:00,183.054993,183.360001,183.009995,183.027405,77626
2026-04-08 14:30:00+00:00,183.110001,183.110001,182.559998,182.595001,96325
2026-04-08 14:35:00+00:00,182.600006,182.989899,182.059998,182.610001,109590
2026-04-08 14:40:00+00:00,182.660004,183.279999,182.544998,182.710007,76226
2026-04-08 14:45:00+00:00,182.720001,182.990005,182.455002,182.850006,89746
2026-04-08 14:50:00+00:00,182.789993,182.919998,182.419998,182.595001,52678
2026-04-08 14:55:00+00:00,182.570007,183.089996,182.062897,182.832504,112427
2026-04-08 15:00:00+00:00,182.824997,183.000000,182.559998,182.835007,107820
2026-04-08 15:05:00+00:00,182.860001,182.983505,182.710007,182.774994,70029
2026-04-08 15:10:00+00:00,182.695007,182.960007,182.490005,182.880005,92670
2026-04-08 15:15:00+00:00,182.940002,183.139999,182.807495,183.054993,88982
2026-04-08 15:20:00+00:00,183.054993,183.199997,182.399994,182.514999,139291
2026-04-08 15:25:00+00:00,182.485992,182.639999,181.839996,182.029999,128357
2026-04-08 15:30:00+00:00,182.029999,182.520004,181.529999,182.470001,102970
2026-04-08 15:35:00+00:00,182.475098,182.860001,182.455002,182.539993,53904
2026-04-08 15:40:00+00:00,182.539993,182.809998,182.410004,182.800003,57189
