Date,Open,High,Low,Close,Volume
2002-07-30,51.092675,51.098970,51.017092,51.023392,95300
2002-07-31,51.124163,51.212340,51.111568,51.180851,38800
2002-08-01,51.224967,51.300545,51.224967,51.281651,86800
2002-08-02,51.306837,51.420209,51.269048,51.382420,83400
2002-08-05,51.413929,51.476917,51.376140,51.464317,93100
2002-08-06,51.401328,51.401328,51.300551,51.338345,58200
2002-08-07,51.388697,51.451685,51.357207,51.413891,127000
2002-08-08,51.401328,51.407627,51.313150,51.338345,111800
2002-08-09,51.319459,51.369843,51.306860,51.350948,50900
2002-08-12,51.338306,51.376095,51.313112,51.344601,52300
2002-08-13,51.388714,51.445403,51.319436,51.432808,36200
2002-08-14,51.451713,51.464307,51.306847,51.319447,108700
2002-08-15,51.256446,51.357222,51.206062,51.275345,87700
2002-08-16,51.357215,51.363514,51.212349,51.243843,274500
2002-08-19,51.275362,51.287957,51.212374,51.250168,36000
2002-08-20,51.338308,51.376097,51.306814,51.369797,51400
2002-08-21,51.306823,51.357212,51.281629,51.325718,43100
2002-08-22,51.331980,51.331980,51.256398,51.268997,47700
2002-08-23,51.319425,51.344615,51.294231,51.332020,60900
2002-08-26,51.325718,51.363512,51.300524,51.325718,49700
2002-08-27,51.269027,51.300517,51.237534,51.287922,54700
2002-08-28,51.338317,51.350912,51.306823,51.325718,50600
2002-08-29,51.420209,51.420209,51.363525,51.382420,53700
2002-08-30,51.413893,51.413893,51.344610,51.401299,143800
2002-09-03,51.491515,51.592452,51.485205,51.523056,83000
2002-09-04,51.523057,51.560912,51.478896,51.504131,49500
2002-09-05,51.535685,51.560921,51.504140,51.560921,49000
2002-09-06,51.447338,51.485189,51.434718,51.459953,33700
2002-09-09,51.428434,51.459979,51.384273,51.390583,65200
2002-09-10,51.378008,51.441094,51.365388,51.422169,51000
2002-09-11,51.352732,51.390583,51.327497,51.390583,24700
2002-09-12,51.403183,51.447343,51.390563,51.428413,50100
2002-09-13,51.447349,51.472579,51.428419,51.466274,95100
2002-09-16,51.485192,51.485192,51.441032,51.447342,39000
2002-09-17,51.428441,51.491532,51.403211,51.485222,28800
2002-09-18,51.504132,51.541983,51.478897,51.478897,173700
2002-09-19,51.579857,51.586163,51.516771,51.586163,191100
2002-09-20,51.567241,51.598786,51.542005,51.592476,360800
2002-09-23,51.617691,51.636616,51.573530,51.605076,263600
2002-09-24,51.649213,51.693374,51.592433,51.630283,659400
2002-09-25,51.598729,51.623964,51.541948,51.579803,240400
2002-09-26,51.579860,51.617711,51.535699,51.598785,81100
2002-09-27,51.636605,51.706001,51.611370,51.706001,136200
2002-09-30,51.750208,51.813294,51.731283,51.781754,216900
2002-10-01,51.750151,51.807010,51.705921,51.718559,94100
2002-10-02,51.737461,51.775367,51.699555,51.762733,79400
2002-10-03,51.743790,51.788015,51.680612,51.769062,196500
2002-10-04,51.661693,51.762782,51.655379,51.724876,205600
2002-10-07,51.788052,51.788052,51.731188,51.788052,171600
2002-10-08,51.712246,51.807016,51.712246,51.737518,167100
